"cc_iso3c","group","sort_order","metric","label","value","incise_average","imputed","description","source"
"SVN","0_indicators",12,"ind_tax","Tax administration (InCiSE Indicator)",0.48,0.56,"","Composite InCiSE Indicator for Tax administration","InCiSE 2019"
"SWE","0_indicators",12,"ind_tax","Tax administration (InCiSE Indicator)",0.62,0.56,"","Composite InCiSE Indicator for Tax administration","InCiSE 2019"
"TUR","0_indicators",12,"ind_tax","Tax administration (InCiSE Indicator)",0.65,0.56,"","Composite InCiSE Indicator for Tax administration","InCiSE 2019"
"USA","0_indicators",12,"ind_tax","Tax administration (InCiSE Indicator)",0.61,0.56,"","Composite InCiSE Indicator for Tax administration","InCiSE 2019"
"AUS","cap",1,"cap_litscore","Literacy level",0.82,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"AUT","cap",1,"cap_litscore","Literacy level",0.83,0.76,"","Literacy competency score","OECD_2012_SKIL"
"BEL","cap",1,"cap_litscore","Literacy level",0.81,0.76,"","Literacy competency score","OECD_2012_SKIL"
"BGR","cap",1,"cap_litscore","Literacy level",0.82,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"CAN","cap",1,"cap_litscore","Literacy level",0.84,0.76,"","Literacy competency score","OECD_2012_SKIL"
"CHE","cap",1,"cap_litscore","Literacy level",0.81,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"CHL","cap",1,"cap_litscore","Literacy level",0.15,0.76,"","Literacy competency score","OECD_2012_SKIL"
"CZE","cap",1,"cap_litscore","Literacy level",1,0.76,"","Literacy competency score","OECD_2012_SKIL"
"DEU","cap",1,"cap_litscore","Literacy level",0.97,0.76,"","Literacy competency score","OECD_2012_SKIL"
"DNK","cap",1,"cap_litscore","Literacy level",0.91,0.76,"","Literacy competency score","OECD_2012_SKIL"
"ESP","cap",1,"cap_litscore","Literacy level",0.68,0.76,"","Literacy competency score","OECD_2012_SKIL"
"EST","cap",1,"cap_litscore","Literacy level",0.87,0.76,"","Literacy competency score","OECD_2012_SKIL"
"FIN","cap",1,"cap_litscore","Literacy level",0.79,0.76,"","Literacy competency score","OECD_2012_SKIL"
"FRA","cap",1,"cap_litscore","Literacy level",0.67,0.76,"","Literacy competency score","OECD_2012_SKIL"
"GBR","cap",1,"cap_litscore","Literacy level",0.82,0.76,"","Literacy competency score","OECD_2012_SKIL"
"GRC","cap",1,"cap_litscore","Literacy level",0.29,0.76,"","Literacy competency score","OECD_2012_SKIL"
"HRV","cap",1,"cap_litscore","Literacy level",0.77,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"HUN","cap",1,"cap_litscore","Literacy level",0.78,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"IRL","cap",1,"cap_litscore","Literacy level",0.97,0.76,"","Literacy competency score","OECD_2012_SKIL"
"ISL","cap",1,"cap_litscore","Literacy level",0.77,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"ISR","cap",1,"cap_litscore","Literacy level",0.51,0.76,"","Literacy competency score","OECD_2012_SKIL"
"ITA","cap",1,"cap_litscore","Literacy level",0.6,0.76,"","Literacy competency score","OECD_2012_SKIL"
"JPN","cap",1,"cap_litscore","Literacy level",0.94,0.76,"","Literacy competency score","OECD_2012_SKIL"
"KOR","cap",1,"cap_litscore","Literacy level",0.95,0.76,"","Literacy competency score","OECD_2012_SKIL"
"LTU","cap",1,"cap_litscore","Literacy level",0.59,0.76,"","Literacy competency score","OECD_2012_SKIL"
"LVA","cap",1,"cap_litscore","Literacy level",0.77,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"MEX","cap",1,"cap_litscore","Literacy level",0.74,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"NLD","cap",1,"cap_litscore","Literacy level",0.93,0.76,"","Literacy competency score","OECD_2012_SKIL"
"NOR","cap",1,"cap_litscore","Literacy level",0.96,0.76,"","Literacy competency score","OECD_2012_SKIL"
"NZL","cap",1,"cap_litscore","Literacy level",0.78,0.76,"","Literacy competency score","OECD_2012_SKIL"
"POL","cap",1,"cap_litscore","Literacy level",0.84,0.76,"","Literacy competency score","OECD_2012_SKIL"
"PRT","cap",1,"cap_litscore","Literacy level",0.77,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"ROU","cap",1,"cap_litscore","Literacy level",0.78,0.76,"Imputed value","Literacy competency score","OECD_2012_SKIL"
"SVK","cap",1,"cap_litscore","Literacy level",0.83,0.76,"","Literacy competency score","OECD_2012_SKIL"
"SVN","cap",1,"cap_litscore","Literacy level",0.78,0.76,"","Literacy competency score","OECD_2012_SKIL"
"SWE","cap",1,"cap_litscore","Literacy level",0.9,0.76,"","Literacy competency score","OECD_2012_SKIL"
"TUR","cap",1,"cap_litscore","Literacy level",0,0.76,"","Literacy competency score","OECD_2012_SKIL"
"USA","cap",1,"cap_litscore","Literacy level",0.87,0.76,"","Literacy competency score","OECD_2012_SKIL"
"AUS","cap",2,"cap_numscore","Numeracy level",0.78,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"AUT","cap",2,"cap_numscore","Numeracy level",0.71,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"BEL","cap",2,"cap_numscore","Numeracy level",0.68,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"BGR","cap",2,"cap_numscore","Numeracy level",0.77,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"CAN","cap",2,"cap_numscore","Numeracy level",0.76,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"CHE","cap",2,"cap_numscore","Numeracy level",0.72,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"CHL","cap",2,"cap_numscore","Numeracy level",0,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"CZE","cap",2,"cap_numscore","Numeracy level",0.89,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"DEU","cap",2,"cap_numscore","Numeracy level",0.85,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"DNK","cap",2,"cap_numscore","Numeracy level",0.86,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"ESP","cap",2,"cap_numscore","Numeracy level",0.65,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"EST","cap",2,"cap_numscore","Numeracy level",0.83,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"FIN","cap",2,"cap_numscore","Numeracy level",0.95,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"FRA","cap",2,"cap_numscore","Numeracy level",0.53,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"GBR","cap",2,"cap_numscore","Numeracy level",0.65,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"GRC","cap",2,"cap_numscore","Numeracy level",0.43,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"HRV","cap",2,"cap_numscore","Numeracy level",0.69,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"HUN","cap",2,"cap_numscore","Numeracy level",0.72,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"IRL","cap",2,"cap_numscore","Numeracy level",0.79,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"ISL","cap",2,"cap_numscore","Numeracy level",0.74,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"ISR","cap",2,"cap_numscore","Numeracy level",0.41,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"ITA","cap",2,"cap_numscore","Numeracy level",0.58,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"JPN","cap",2,"cap_numscore","Numeracy level",1,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"KOR","cap",2,"cap_numscore","Numeracy level",0.81,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"LTU","cap",2,"cap_numscore","Numeracy level",0.72,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"LVA","cap",2,"cap_numscore","Numeracy level",0.79,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"MEX","cap",2,"cap_numscore","Numeracy level",0.77,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"NLD","cap",2,"cap_numscore","Numeracy level",0.92,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"NOR","cap",2,"cap_numscore","Numeracy level",0.8,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"NZL","cap",2,"cap_numscore","Numeracy level",0.73,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"POL","cap",2,"cap_numscore","Numeracy level",0.7,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"PRT","cap",2,"cap_numscore","Numeracy level",0.71,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"ROU","cap",2,"cap_numscore","Numeracy level",0.79,0.71,"Imputed value","Numeracy competency score","OECD_2012_SKIL"
"SVK","cap",2,"cap_numscore","Numeracy level",0.87,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"SVN","cap",2,"cap_numscore","Numeracy level",0.79,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"SWE","cap",2,"cap_numscore","Numeracy level",0.8,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"TUR","cap",2,"cap_numscore","Numeracy level",0.09,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"USA","cap",2,"cap_numscore","Numeracy level",0.64,0.71,"","Numeracy competency score","OECD_2012_SKIL"
"AUS","cap",3,"cap_pslscore","Problem solving level",0.35,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"AUT","cap",3,"cap_pslscore","Problem solving level",0.89,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"BEL","cap",3,"cap_pslscore","Problem solving level",0.46,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"BGR","cap",3,"cap_pslscore","Problem solving level",0.65,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"CAN","cap",3,"cap_pslscore","Problem solving level",0.37,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"CHE","cap",3,"cap_pslscore","Problem solving level",0.49,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"CHL","cap",3,"cap_pslscore","Problem solving level",0.52,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"CZE","cap",3,"cap_pslscore","Problem solving level",0.78,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"DEU","cap",3,"cap_pslscore","Problem solving level",0.32,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"DNK","cap",3,"cap_pslscore","Problem solving level",0.55,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"ESP","cap",3,"cap_pslscore","Problem solving level",0.54,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"EST","cap",3,"cap_pslscore","Problem solving level",0.56,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"FIN","cap",3,"cap_pslscore","Problem solving level",0.22,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"FRA","cap",3,"cap_pslscore","Problem solving level",0.76,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"GBR","cap",3,"cap_pslscore","Problem solving level",0.45,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"GRC","cap",3,"cap_pslscore","Problem solving level",0.83,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"HRV","cap",3,"cap_pslscore","Problem solving level",0.76,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"HUN","cap",3,"cap_pslscore","Problem solving level",0.72,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"IRL","cap",3,"cap_pslscore","Problem solving level",1,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"ISL","cap",3,"cap_pslscore","Problem solving level",0.58,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"ISR","cap",3,"cap_pslscore","Problem solving level",0.31,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"ITA","cap",3,"cap_pslscore","Problem solving level",0.89,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"JPN","cap",3,"cap_pslscore","Problem solving level",0.11,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"KOR","cap",3,"cap_pslscore","Problem solving level",0.84,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"LTU","cap",3,"cap_pslscore","Problem solving level",0.95,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"LVA","cap",3,"cap_pslscore","Problem solving level",0.55,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"MEX","cap",3,"cap_pslscore","Problem solving level",0.78,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"NLD","cap",3,"cap_pslscore","Problem solving level",0.38,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"NOR","cap",3,"cap_pslscore","Problem solving level",0.43,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"NZL","cap",3,"cap_pslscore","Problem solving level",0,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"POL","cap",3,"cap_pslscore","Problem solving level",0.7,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"PRT","cap",3,"cap_pslscore","Problem solving level",0.75,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"ROU","cap",3,"cap_pslscore","Problem solving level",0.61,0.58,"Imputed value","Problem solving competency score","OECD_2012_SKIL"
"SVK","cap",3,"cap_pslscore","Problem solving level",0.87,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"SVN","cap",3,"cap_pslscore","Problem solving level",0.53,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"SWE","cap",3,"cap_pslscore","Problem solving level",0.24,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"TUR","cap",3,"cap_pslscore","Problem solving level",0.68,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"USA","cap",3,"cap_pslscore","Problem solving level",0.49,0.58,"","Problem solving competency score","OECD_2012_SKIL"
"AUS","cap",4,"cap_tertedu","Tertiary education",0.89,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"AUT","cap",4,"cap_tertedu","Tertiary education",0,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"BEL","cap",4,"cap_tertedu","Tertiary education",0.43,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"BGR","cap",4,"cap_tertedu","Tertiary education",0.64,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"CAN","cap",4,"cap_tertedu","Tertiary education",0.92,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"CHE","cap",4,"cap_tertedu","Tertiary education",0.66,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"CHL","cap",4,"cap_tertedu","Tertiary education",0.75,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"CZE","cap",4,"cap_tertedu","Tertiary education",0.27,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"DEU","cap",4,"cap_tertedu","Tertiary education",0.62,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"DNK","cap",4,"cap_tertedu","Tertiary education",0.68,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"ESP","cap",4,"cap_tertedu","Tertiary education",0.65,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"EST","cap",4,"cap_tertedu","Tertiary education",1,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"FIN","cap",4,"cap_tertedu","Tertiary education",0.85,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"FRA","cap",4,"cap_tertedu","Tertiary education",0.25,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"GBR","cap",4,"cap_tertedu","Tertiary education",0.38,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"GRC","cap",4,"cap_tertedu","Tertiary education",0.45,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"HRV","cap",4,"cap_tertedu","Tertiary education",0.69,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"HUN","cap",4,"cap_tertedu","Tertiary education",0.7,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"IRL","cap",4,"cap_tertedu","Tertiary education",0.54,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"ISL","cap",4,"cap_tertedu","Tertiary education",0.76,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"ISR","cap",4,"cap_tertedu","Tertiary education",0.46,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"ITA","cap",4,"cap_tertedu","Tertiary education",0.16,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"JPN","cap",4,"cap_tertedu","Tertiary education",0.79,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"KOR","cap",4,"cap_tertedu","Tertiary education",0.94,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"LTU","cap",4,"cap_tertedu","Tertiary education",0.7,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"LVA","cap",4,"cap_tertedu","Tertiary education",0.6,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"MEX","cap",4,"cap_tertedu","Tertiary education",0.65,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"NLD","cap",4,"cap_tertedu","Tertiary education",0.45,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"NOR","cap",4,"cap_tertedu","Tertiary education",0.8,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"NZL","cap",4,"cap_tertedu","Tertiary education",0.95,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"POL","cap",4,"cap_tertedu","Tertiary education",0.88,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"PRT","cap",4,"cap_tertedu","Tertiary education",0.61,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"ROU","cap",4,"cap_tertedu","Tertiary education",0.64,0.63,"Imputed value","Proportion with tertiary education","OECD_2012_SKIL"
"SVK","cap",4,"cap_tertedu","Tertiary education",0.51,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"SVN","cap",4,"cap_tertedu","Tertiary education",0.74,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"SWE","cap",4,"cap_tertedu","Tertiary education",0.65,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"TUR","cap",4,"cap_tertedu","Tertiary education",0.47,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"USA","cap",4,"cap_tertedu","Tertiary education",0.62,0.63,"","Proportion with tertiary education","OECD_2012_SKIL"
"AUS","cap",5,"cap_ictwork","ICT at work",0.41,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"AUT","cap",5,"cap_ictwork","ICT at work",0.43,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"BEL","cap",5,"cap_ictwork","ICT at work",0.49,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"BGR","cap",5,"cap_ictwork","ICT at work",0.53,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"CAN","cap",5,"cap_ictwork","ICT at work",0.73,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"CHE","cap",5,"cap_ictwork","ICT at work",0.5,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"CHL","cap",5,"cap_ictwork","ICT at work",0.85,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"CZE","cap",5,"cap_ictwork","ICT at work",0.57,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"DEU","cap",5,"cap_ictwork","ICT at work",0.42,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"DNK","cap",5,"cap_ictwork","ICT at work",0.64,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"ESP","cap",5,"cap_ictwork","ICT at work",0.43,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"EST","cap",5,"cap_ictwork","ICT at work",0.93,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"FIN","cap",5,"cap_ictwork","ICT at work",0.47,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"FRA","cap",5,"cap_ictwork","ICT at work",0.33,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"GBR","cap",5,"cap_ictwork","ICT at work",0.69,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"GRC","cap",5,"cap_ictwork","ICT at work",0.02,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"HRV","cap",5,"cap_ictwork","ICT at work",0.62,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"HUN","cap",5,"cap_ictwork","ICT at work",0.57,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"IRL","cap",5,"cap_ictwork","ICT at work",0.48,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"ISL","cap",5,"cap_ictwork","ICT at work",0.5,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"ISR","cap",5,"cap_ictwork","ICT at work",0.33,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"ITA","cap",5,"cap_ictwork","ICT at work",0.5,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"JPN","cap",5,"cap_ictwork","ICT at work",0.27,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"KOR","cap",5,"cap_ictwork","ICT at work",0.85,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"LTU","cap",5,"cap_ictwork","ICT at work",0.38,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"LVA","cap",5,"cap_ictwork","ICT at work",0.54,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"MEX","cap",5,"cap_ictwork","ICT at work",0.45,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"NLD","cap",5,"cap_ictwork","ICT at work",0.56,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"NOR","cap",5,"cap_ictwork","ICT at work",0.47,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"NZL","cap",5,"cap_ictwork","ICT at work",1,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"POL","cap",5,"cap_ictwork","ICT at work",0.31,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"PRT","cap",5,"cap_ictwork","ICT at work",0.6,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"ROU","cap",5,"cap_ictwork","ICT at work",0.58,0.52,"Imputed value","Index of ICT use at work","OECD_2012_SKIL"
"SVK","cap",5,"cap_ictwork","ICT at work",0.57,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"SVN","cap",5,"cap_ictwork","ICT at work",0.74,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"SWE","cap",5,"cap_ictwork","ICT at work",0.43,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"TUR","cap",5,"cap_ictwork","ICT at work",0,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"USA","cap",5,"cap_ictwork","ICT at work",0.67,0.52,"","Index of ICT use at work","OECD_2012_SKIL"
"AUS","cap",6,"cap_numwork","Numeracy at work",0.68,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"AUT","cap",6,"cap_numwork","Numeracy at work",0.4,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"BEL","cap",6,"cap_numwork","Numeracy at work",0.51,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"BGR","cap",6,"cap_numwork","Numeracy at work",0.56,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"CAN","cap",6,"cap_numwork","Numeracy at work",0.88,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"CHE","cap",6,"cap_numwork","Numeracy at work",0.69,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"CHL","cap",6,"cap_numwork","Numeracy at work",0.35,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"CZE","cap",6,"cap_numwork","Numeracy at work",0.68,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"DEU","cap",6,"cap_numwork","Numeracy at work",0.49,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"DNK","cap",6,"cap_numwork","Numeracy at work",0.43,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"ESP","cap",6,"cap_numwork","Numeracy at work",0.63,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"EST","cap",6,"cap_numwork","Numeracy at work",0.71,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"FIN","cap",6,"cap_numwork","Numeracy at work",0.96,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"FRA","cap",6,"cap_numwork","Numeracy at work",0.57,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"GBR","cap",6,"cap_numwork","Numeracy at work",0.6,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"GRC","cap",6,"cap_numwork","Numeracy at work",0.64,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"HRV","cap",6,"cap_numwork","Numeracy at work",0.48,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"HUN","cap",6,"cap_numwork","Numeracy at work",0.47,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"IRL","cap",6,"cap_numwork","Numeracy at work",0.61,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"ISL","cap",6,"cap_numwork","Numeracy at work",0.61,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"ISR","cap",6,"cap_numwork","Numeracy at work",0.45,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"ITA","cap",6,"cap_numwork","Numeracy at work",0.47,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"JPN","cap",6,"cap_numwork","Numeracy at work",0.87,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"KOR","cap",6,"cap_numwork","Numeracy at work",0.81,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"LTU","cap",6,"cap_numwork","Numeracy at work",0.19,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"LVA","cap",6,"cap_numwork","Numeracy at work",0.64,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"MEX","cap",6,"cap_numwork","Numeracy at work",0.58,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"NLD","cap",6,"cap_numwork","Numeracy at work",0.4,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"NOR","cap",6,"cap_numwork","Numeracy at work",0.31,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"NZL","cap",6,"cap_numwork","Numeracy at work",0.91,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"POL","cap",6,"cap_numwork","Numeracy at work",0.67,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"PRT","cap",6,"cap_numwork","Numeracy at work",0.48,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"ROU","cap",6,"cap_numwork","Numeracy at work",0.55,0.58,"Imputed value","Index of numeracy skills at work","OECD_2012_SKIL"
"SVK","cap",6,"cap_numwork","Numeracy at work",1,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"SVN","cap",6,"cap_numwork","Numeracy at work",0.61,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"SWE","cap",6,"cap_numwork","Numeracy at work",0.36,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"TUR","cap",6,"cap_numwork","Numeracy at work",0,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"USA","cap",6,"cap_numwork","Numeracy at work",0.84,0.58,"","Index of numeracy skills at work","OECD_2012_SKIL"
"AUS","cap",7,"cap_readwork","Reading at work",0.56,0.57,"Imputed value","Index of reading skills at work","OECD_2012_SKIL"
"AUT","cap",7,"cap_readwork","Reading at work",0.58,0.57,"","Index of reading skills at work","OECD_2012_SKIL"
